Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
85,"Product Manager, EMEA Payments Lead",Stripe,"Dublin, Ireland",,https://stripe.com/jobs/search?gh_jid=7768979,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Product Manager, Local Processor Acquiring",Stripe,London,,https://stripe.com/jobs/search?gh_jid=8018427,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Cards Monetization",Stripe,"Seattle, San Francisco, New York, US - Remote",,https://stripe.com/jobs/search?gh_jid=7980498,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml, infrastructure, analytics",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Dashboard",Stripe,"San Francisco, Seattle, NYC, Chicago, Atlanta, US Remote",,https://stripe.com/jobs/search?gh_jid=7913702,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching machine learning, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Enterprise (Industries)",Stripe,"San Francisco, Seattle, New York, Chicago, Atlanta, Remote",,https://stripe.com/jobs/search?gh_jid=7812856,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Local Processor Acquiring",Stripe,Dublin,,https://stripe.com/jobs/search?gh_jid=7953691,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Local Processor Acquiring",Stripe,Barcelona,,https://stripe.com/jobs/search?gh_jid=7977719,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Staff Product Manager, Support Experience",Stripe,"San Francisco, California, United States",,https://stripe.com/jobs/search?gh_jid=7920219,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, agents, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,Product Manager,Linear,North America,,https://jobs.ashbyhq.com/linear/b7669c4b-eeca-421d-ba9a-d90203f6fcb2,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, agents",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:38.000Z
85,Product Manager,Linear,Europe,,https://jobs.ashbyhq.com/linear/86abcce0-04b2-405c-9a8e-e0ca84813914,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, agents",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:38.000Z
83,Senior Product Manager,Distru,Remote,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-distru-1133455,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, agentic",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
83,"Product Manager, CMS",Figma,"San Francisco, CA • New York, NY • United States",,https://boards.greenhouse.io/figma/jobs/6092802004?gh_jid=6092802004,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 5+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager - Compliance, Bridge",Stripe,"New York, San Francisco or Remote",,https://stripe.com/jobs/search?gh_jid=7979422,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, api",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Ecosystem Risk",Stripe,"New-York, Atlanta, Remote, Toronto",,https://stripe.com/jobs/search?gh_jid=7984866,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Growth AI Outreach Motion",Stripe,"Toronto, Remote- Canada",,https://stripe.com/jobs/search?gh_jid=7809139,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, ml, agentic",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Infrastructure",Stripe,Remote in the US,,https://stripe.com/jobs/search?gh_jid=6651889,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, ml, agents",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Link - Consumer",Stripe,"SF, SEA, NY, Remote-US",,https://stripe.com/jobs/search?gh_jid=7392697,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, agents, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Link - Local Payment Methods",Stripe,USA,,https://stripe.com/jobs/search?gh_jid=7981330,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, agents, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Sail Core",Stripe,Toronto,,https://stripe.com/jobs/search?gh_jid=7913698,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching agentic, technical product, api",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Startup Products",Stripe,"NYC, Chicago, Seattle, San Francisco",,https://stripe.com/jobs/search?gh_jid=7901987,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Support Products—Support Experience",Stripe,Dublin,,https://stripe.com/jobs/search?gh_jid=7440429,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching agents, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
