Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
67,"Product Manager, Global Marketplaces",Stripe,London,,https://stripe.com/jobs/search?gh_jid=8009671,"Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching technical product, api, infrastructure","Location ""London"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
67,"Product Manager, Global Payouts – Cross-Border & Enterprise Capabilities",Stripe,"New York, NY",,https://stripe.com/jobs/search?gh_jid=7994443,"Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching ai, infrastructure","Location ""New York, NY"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
67,"Product Manager, Payments",Stripe,"SF, NY, SEA, Remote-US",,https://stripe.com/jobs/search?gh_jid=7176530,"Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching api, infrastructure, analytics","Location ""SF, NY, SEA, Remote-US"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
67,"Group Product Manager, Payments Core",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/7991474?gh_jid=7991474,"Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching ai, machine learning, generative","Location ""Remote - USA"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
67,Head of Product (Remote),Decile Group,Remote,,https://jobs.lever.co/decilegroup/c4f25202-188a-4a65-bce0-74f51920d074,Role matches Leadership Product (Director/Head/VP); Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
66,Technical Product Manager,SupplyHouse.com,"Remote, India",,https://remoteOK.com/remote-jobs/remote-technical-product-manager-supplyhouse-com-1131077,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching technical product,Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
66,Product Manager (Remote),Decile Group,Remote,,https://jobs.lever.co/decilegroup/7819b869-34a0-4455-9fcb-b5cf686bb76d,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai,Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
65,"Director of Product Management, Commercial Banking",SoFi,WA - Seattle; CA - San Francisco,,https://sofi.com/careers/job/7639014003?gh_jid=7639014003,Role matches Leadership Product (Director/Head/VP); Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): FinTech; Has AI or technical relevance: matching infrastructure,"Location ""WA - Seattle; CA - San Francisco"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
65,Senior Product Manager - Agentic Surfaces,Monday.com,Tel Aviv,,https://jobs.ashbyhq.com/monday.com/155e01ba-1263-44d0-a1fe-b40d97001d61,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
65,Senior Product Manager - AI Agentic Solutions,Monday.com,Tel Aviv,,https://jobs.ashbyhq.com/monday.com/350d3ba9-0061-4f3d-b8a2-2d812cfde430,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, ml",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
